player_name,player_key,datasets,draft_year_min,draft_year_max,source_row_count,match_method,nba_person_id,nba_full_name,nba_is_active,headshot_url,local_file,download_status,http_status,content_type
Isaiah Todd,isaiah todd,historical,2021,2021,1,exact_full_name,1630225.0,Isaiah Todd,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630225.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\isaiah_todd__1630225.png,downloaded,200.0,image/png
JT Thor,jt thor,historical,2021,2021,1,exact_full_name,1630550.0,JT Thor,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630550.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jt_thor__1630550.png,downloaded,200.0,image/png
Jaden Springer,jaden springer,historical,2021,2021,1,exact_full_name,1630531.0,Jaden Springer,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630531.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jaden_springer__1630531.png,downloaded,200.0,image/png
Jalen Green,jalen green,historical,2021,2021,1,exact_full_name,1630224.0,Jalen Green,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630224.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jalen_green__1630224.png,downloaded,200.0,image/png
Jalen Johnson,jalen johnson,historical,2021,2021,1,exact_full_name,1630552.0,Jalen Johnson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jalen_johnson__1630552.png,downloaded,200.0,image/png
Jalen Suggs,jalen suggs,historical,2021,2021,1,exact_full_name,1630591.0,Jalen Suggs,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630591.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jalen_suggs__1630591.png,downloaded,200.0,image/png
James Bouknight,james bouknight,historical,2021,2021,1,exact_full_name,1630547.0,James Bouknight,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630547.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\james_bouknight__1630547.png,downloaded,200.0,image/png
Jared Butler,jared butler,historical,2021,2021,1,exact_full_name,1630215.0,Jared Butler,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630215.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jared_butler__1630215.png,downloaded,200.0,image/png
Jason Preston,jason preston,historical,2021,2021,1,exact_full_name,1630554.0,Jason Preston,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630554.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jason_preston__1630554.png,downloaded,200.0,image/png
Jericho Sims,jericho sims,historical,2021,2021,1,exact_full_name,1630579.0,Jericho Sims,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630579.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jericho_sims__1630579.png,downloaded,200.0,image/png
